order_id,customer_id,product_id,order_date,quantity,total_amount
1,525,50,2025-01-30,2,430.98
2,17,79,2025-02-11,3,281.85
3,555,172,2024-10-01,1,172.43
4,52,6,2024-09-06,1,372.26
5,304,148,2025-03-26,4,1158.96
6,286,124,2024-11-17,5,968.0
7,354,59,2024-09-01,2,627.44
8,392,149,2024-09-05,5,1464.25
9,679,54,2025-05-11,4,669.92
10,455,32,2024-09-21,1,352.62
11,272,153,2024-10-10,2,153.3
12,986,101,2024-10-12,3,113.69999999999999
13,959,49,2025-03-11,1,155.55
14,856,123,2024-11-19,2,61.9
15,735,79,2025-03-07,3,281.85
16,854,195,2024-12-12,5,518.1
17,674,192,2024-09-07,1,395.37
18,151,136,2025-06-01,4,103.28
19,835,83,2025-02-13,2,243.08
20,565,37,2025-06-09,3,138.03
21,453,21,2025-05-06,1,39.84
22,533,15,2024-12-30,3,81.0
23,542,62,2024-11-20,5,2112.25
24,584,200,2025-01-26,1,252.26
25,651,84,2024-11-18,3,455.88
26,259,183,2024-11-05,4,807.72
27,507,184,2025-01-14,2,352.0
28,131,116,2025-03-25,1,354.19
29,49,179,2025-07-15,3,725.58
30,952,193,2025-02-04,5,873.0
31,639,71,2025-05-24,3,206.88
32,884,199,2025-03-19,1,444.82
33,190,137,2025-04-01,1,61.44
34,581,131,2025-01-02,4,1606.6
35,67,27,2024-09-06,4,200.44
36,802,23,2025-02-26,5,1617.45
37,837,50,2024-11-07,4,861.96
38,874,130,2025-06-03,4,229.64
39,639,28,2025-01-19,5,1456.0
40,36,75,2025-05-12,5,803.15
41,146,68,2025-07-31,4,215.52
42,666,86,2025-01-12,4,408.76
43,393,4,2025-02-25,2,126.7
44,249,38,2025-03-20,4,1203.36
45,77,123,2024-11-06,4,123.8
46,320,61,2025-05-13,4,605.16
47,60,72,2024-09-04,1,236.91
48,108,190,2025-08-25,2,18.36
49,351,4,2024-09-03,3,190.05
50,305,93,2025-01-26,4,76.88
51,126,55,2024-09-18,1,373.58
52,463,125,2025-05-16,2,668.78
53,990,89,2025-01-12,5,1799.8
54,341,157,2025-02-12,2,489.7
55,77,99,2025-08-08,5,1517.0
56,52,172,2025-02-05,2,344.86
57,777,56,2025-05-09,1,226.67
58,28,68,2025-02-21,1,53.88
59,646,114,2024-12-01,1,49.26
60,330,55,2024-09-13,5,1867.8999999999999
61,582,124,2025-05-05,3,580.8
62,273,64,2025-02-21,2,301.2
63,536,154,2024-11-09,2,253.68
64,783,117,2025-08-13,3,661.89
65,662,65,2025-04-04,5,305.9
66,437,93,2025-07-29,2,38.44
67,941,61,2025-06-08,1,151.29
68,571,192,2025-04-05,2,790.74
69,869,44,2025-03-08,5,2391.4500000000003
70,613,11,2024-09-19,3,1196.8799999999999
71,553,166,2024-10-09,5,2279.15
72,977,64,2025-06-25,1,150.6
73,713,106,2024-11-28,3,143.52
74,280,77,2024-11-13,3,876.96
75,644,17,2024-09-29,5,750.6999999999999
76,123,64,2025-07-12,4,602.4
77,277,156,2024-08-28,1,6.22
78,944,172,2025-04-23,2,344.86
79,794,140,2025-07-20,2,291.8
80,107,181,2025-07-09,5,1411.6
81,66,164,2025-01-16,1,208.3
82,511,91,2024-12-28,5,1821.05
83,217,180,2024-12-30,5,1928.25
84,339,73,2024-11-25,5,1539.0
85,467,43,2024-09-29,2,120.14
86,640,142,2025-07-10,4,1035.72
87,683,149,2025-05-09,5,1464.25
88,239,153,2024-09-27,5,383.25
89,367,35,2025-01-23,3,956.49
90,775,164,2024-10-18,2,416.6
91,756,36,2024-11-07,4,1945.72
92,562,137,2025-01-28,2,122.88
93,532,146,2025-07-07,5,175.0
94,149,31,2025-04-22,5,1910.5
95,8,96,2025-07-04,1,42.07
96,453,73,2025-03-06,1,307.8
97,768,181,2025-04-10,5,1411.6
98,640,147,2024-09-17,3,1187.4
99,720,158,2024-10-27,1,208.27
100,514,46,2025-03-03,5,909.5999999999999
101,15,170,2025-01-03,1,442.08
102,421,83,2024-09-23,4,486.16
103,551,144,2025-02-22,4,997.92
104,658,127,2025-03-29,2,603.1
105,171,200,2025-05-07,5,1261.3
106,900,171,2024-09-02,4,996.12
107,789,55,2025-02-17,2,747.16
108,12,27,2025-01-18,4,200.44
109,398,162,2024-09-24,5,2368.0
110,898,122,2025-01-09,4,694.88
111,41,171,2025-02-25,4,996.12
112,207,153,2025-06-22,4,306.6
113,444,187,2025-07-15,4,958.12
114,349,171,2025-06-14,2,498.06
115,735,13,2024-12-24,1,440.3
116,24,91,2024-09-21,2,728.42
117,568,67,2025-01-05,4,493.04
118,29,115,2025-08-12,2,97.08
119,582,38,2024-11-16,4,1203.36
120,498,10,2025-04-30,5,2153.4
121,879,182,2025-08-05,3,548.46
122,694,173,2025-03-16,1,243.91
123,225,53,2024-11-29,2,802.14
124,109,155,2025-02-13,2,699.24
125,919,19,2025-06-06,2,922.14
126,873,95,2025-06-28,1,344.42
127,443,26,2024-10-28,1,232.54
128,448,156,2025-04-02,1,6.22
129,499,176,2025-02-14,1,64.62
130,49,40,2025-02-27,3,538.5600000000001
131,514,177,2024-10-18,3,21.69
132,865,71,2025-08-23,3,206.88
133,751,85,2025-05-16,5,365.4
134,953,103,2025-03-10,5,1932.75
135,909,156,2025-06-03,4,24.88
136,825,95,2025-08-21,3,1033.26
137,632,47,2025-08-01,3,770.94
138,804,32,2025-02-22,5,1763.1
139,962,89,2025-04-07,4,1439.84
140,345,148,2024-10-20,2,579.48
141,910,175,2025-01-31,2,950.06
142,101,23,2024-10-20,4,1293.96
143,22,163,2025-02-05,4,1496.44
144,466,86,2025-08-22,4,408.76
145,800,19,2024-09-30,3,1383.21
146,86,43,2024-10-19,3,180.21
147,574,116,2025-01-10,4,1416.76
148,99,116,2025-06-14,4,1416.76
149,371,148,2025-02-16,5,1448.7
150,615,55,2025-01-26,5,1867.8999999999999
151,780,122,2025-05-19,1,173.72
152,925,129,2025-05-30,1,173.73
153,219,29,2025-05-05,5,237.8
154,408,20,2024-09-13,4,122.16
155,121,37,2025-06-17,1,46.01
156,883,49,2025-07-09,1,155.55
157,842,108,2024-12-20,5,476.3
158,280,102,2025-07-28,1,463.91
159,174,110,2025-01-04,2,299.02
160,525,91,2024-10-30,5,1821.05
161,524,141,2025-03-14,2,21.2
162,969,145,2024-10-09,1,332.27
163,384,92,2025-01-23,4,1820.88
164,773,107,2025-06-16,5,1118.95
165,148,110,2025-06-30,3,448.53
166,157,55,2025-08-04,4,1494.32
167,263,2,2024-09-02,2,950.14
168,385,67,2025-06-22,1,123.26
169,325,59,2025-05-07,1,313.72
170,225,67,2025-03-29,1,123.26
171,790,110,2025-04-11,2,299.02
172,762,24,2024-09-11,5,437.2
173,168,46,2024-09-10,4,727.68
174,704,79,2025-07-18,5,469.75
175,892,181,2025-04-24,3,846.96
176,494,176,2024-10-21,4,258.48
177,853,147,2025-05-27,5,1979.0
178,33,167,2025-04-12,2,597.88
179,690,113,2025-01-06,4,363.36
180,330,189,2025-04-09,3,565.23
181,494,100,2024-09-29,3,1133.16
182,562,84,2025-08-04,4,607.84
183,12,4,2025-01-27,3,190.05
184,183,10,2025-08-19,5,2153.4
185,356,53,2025-08-04,5,2005.35
186,742,69,2024-11-16,1,453.89
187,776,114,2025-01-24,2,98.52
188,695,193,2025-04-21,2,349.2
189,904,84,2025-06-15,2,303.92
190,863,114,2024-09-16,2,98.52
191,49,41,2025-04-14,4,1150.0
192,496,117,2024-10-26,2,441.26
193,539,5,2025-05-03,5,119.3
194,233,70,2025-02-12,3,608.22
195,280,106,2025-02-23,1,47.84
196,140,171,2025-07-26,2,498.06
197,309,88,2025-07-02,3,93.21000000000001
198,448,124,2024-09-19,2,387.2
199,519,127,2024-12-01,2,603.1
200,616,47,2025-03-22,2,513.96
201,247,37,2024-10-29,2,92.02
202,625,14,2025-01-25,5,1620.5
203,342,162,2025-08-20,4,1894.4
204,487,180,2025-02-13,3,1156.9499999999998
205,452,189,2025-02-10,2,376.82
206,766,181,2025-08-02,5,1411.6
207,949,198,2025-03-19,3,198.14999999999998
208,549,112,2025-05-29,3,882.51
209,427,69,2025-04-26,3,1361.67
210,287,28,2025-07-31,3,873.5999999999999
211,574,92,2024-09-27,2,910.44
212,632,65,2025-02-25,3,183.54
213,585,173,2025-04-22,3,731.73
214,110,78,2024-09-15,1,59.54
215,176,40,2025-01-25,4,718.08
216,988,45,2024-09-20,3,933.54
217,449,178,2025-05-12,1,460.61
218,372,112,2024-09-13,3,882.51
219,256,29,2025-01-22,5,237.8
220,498,110,2025-04-15,5,747.55
221,93,76,2025-01-17,1,96.78
222,779,192,2025-06-16,3,1186.1100000000001
223,207,112,2024-11-01,3,882.51
224,208,117,2024-12-14,4,882.52
225,858,7,2025-01-05,3,1369.74
226,797,133,2024-09-17,3,862.6200000000001
227,478,40,2025-03-15,4,718.08
228,350,127,2025-08-21,5,1507.75
229,760,65,2024-10-05,2,122.36
230,236,185,2025-07-28,1,316.3
231,155,188,2025-06-27,4,1952.28
232,804,156,2025-04-20,3,18.66
233,227,6,2025-01-13,4,1489.04
234,350,84,2024-09-19,2,303.92
235,571,183,2025-05-27,4,807.72
236,888,162,2025-02-19,2,947.2
237,983,43,2025-05-24,5,300.35
238,772,150,2024-09-25,1,489.65
239,326,176,2025-03-14,2,129.24
240,838,154,2025-05-04,4,507.36
241,642,99,2025-01-20,5,1517.0
242,443,95,2025-08-25,5,1722.1000000000001
243,804,34,2024-11-01,1,11.22
244,117,65,2025-05-05,1,61.18
245,722,27,2025-08-05,3,150.32999999999998
246,341,37,2025-04-27,4,184.04
247,51,161,2025-07-05,2,396.76
248,309,115,2025-01-07,5,242.7
249,912,140,2025-05-24,1,145.9
250,853,169,2024-11-25,1,17.45
251,430,59,2024-11-11,5,1568.6000000000001
252,613,29,2025-05-13,2,95.12
253,936,156,2025-05-25,4,24.88
254,48,190,2024-10-13,1,9.18
255,462,177,2024-12-10,3,21.69
256,288,32,2025-02-23,4,1410.48
257,693,102,2025-08-19,1,463.91
258,189,97,2025-04-07,5,1736.85
259,21,177,2024-10-02,3,21.69
260,690,59,2024-12-12,3,941.1600000000001
261,735,133,2025-03-13,4,1150.16
262,552,142,2025-02-01,3,776.79
263,924,64,2024-10-17,5,753.0
264,831,112,2024-10-04,5,1470.8500000000001
265,326,174,2025-02-27,2,151.32
266,190,199,2025-03-09,5,2224.1
267,441,181,2024-11-07,4,1129.28
268,344,33,2025-01-31,4,242.2
269,889,110,2025-08-19,5,747.55
270,32,6,2025-07-11,3,1116.78
271,709,35,2025-03-27,2,637.66
272,299,136,2024-12-22,2,51.64
273,695,72,2024-10-22,1,236.91
274,309,15,2025-07-12,3,81.0
275,843,73,2025-04-07,5,1539.0
276,865,109,2025-06-08,2,173.6
277,477,200,2025-04-16,1,252.26
278,406,163,2025-07-04,2,748.22
279,583,25,2024-10-15,5,761.55
280,576,196,2024-12-05,2,529.54
281,284,12,2025-03-12,4,1802.44
282,711,152,2025-02-09,3,176.37
283,634,156,2025-03-05,5,31.099999999999998
284,846,137,2025-07-12,2,122.88
285,971,146,2024-12-15,2,70.0
286,777,174,2025-08-08,5,378.29999999999995
287,612,149,2025-01-19,2,585.7
288,382,197,2025-07-04,4,745.0
289,48,101,2025-05-18,4,151.6
290,228,22,2024-12-20,2,632.24
291,514,30,2024-10-07,2,280.0
292,215,46,2025-01-10,4,727.68
293,778,21,2024-10-10,4,159.36
294,802,14,2024-12-09,3,972.3000000000001
295,509,123,2025-07-16,3,92.85
296,89,27,2025-08-27,4,200.44
297,75,146,2024-10-08,5,175.0
298,599,175,2025-07-26,3,1425.09
299,143,135,2024-12-29,2,706.02
300,81,102,2024-10-04,2,927.82
301,898,60,2025-03-21,4,146.72
302,208,181,2025-01-02,3,846.96
303,609,27,2024-12-10,4,200.44
304,298,110,2025-02-06,5,747.55
305,575,130,2024-09-07,2,114.82
306,887,139,2025-07-14,5,1125.2
307,851,38,2024-11-30,5,1504.1999999999998
308,680,16,2025-02-03,1,420.94
309,252,128,2025-08-17,1,208.49
310,576,79,2025-01-08,1,93.95
311,172,63,2025-06-12,1,117.77
312,661,117,2024-09-26,4,882.52
313,850,95,2025-06-14,5,1722.1000000000001
314,563,146,2025-08-07,3,105.0
315,796,105,2025-01-02,3,222.57
316,976,133,2025-04-18,4,1150.16
317,23,7,2025-01-26,3,1369.74
318,219,117,2025-02-17,1,220.63
319,388,140,2025-06-08,4,583.6
320,220,7,2025-08-01,5,2282.9
321,884,13,2025-08-05,4,1761.2
322,310,78,2025-01-09,5,297.7
323,622,19,2025-06-24,2,922.14
324,803,47,2025-06-22,3,770.94
325,156,128,2025-01-27,5,1042.45
326,467,133,2025-02-17,1,287.54
327,927,163,2025-07-24,1,374.11
328,825,96,2025-07-14,3,126.21000000000001
329,872,51,2025-02-05,2,832.38
330,568,78,2025-08-14,5,297.7
331,74,70,2025-03-03,1,202.74
332,824,46,2024-10-17,4,727.68
333,891,149,2025-07-05,3,878.5500000000001
334,592,96,2025-01-16,3,126.21000000000001
335,93,57,2025-01-22,1,98.35
336,616,69,2025-08-23,2,907.78
337,309,139,2024-11-23,3,675.12
338,640,17,2024-08-28,5,750.6999999999999
339,879,93,2025-08-27,1,19.22
340,989,109,2024-10-26,2,173.6
341,897,196,2025-07-07,2,529.54
342,680,169,2025-05-12,2,34.9
343,545,4,2025-08-22,3,190.05
344,550,191,2024-10-06,4,192.84
345,260,24,2025-05-04,3,262.32
346,774,38,2024-11-26,4,1203.36
347,781,17,2025-02-11,1,150.14
348,588,153,2025-05-01,5,383.25
349,667,51,2025-07-17,1,416.19
350,185,51,2025-02-21,3,1248.57
351,25,187,2025-07-17,2,479.06
352,86,68,2025-02-12,5,269.40000000000003
353,738,169,2025-08-11,4,69.8
354,87,110,2025-02-13,3,448.53
355,919,115,2025-07-01,3,145.62
356,604,23,2025-05-12,1,323.49
357,379,29,2025-07-01,2,95.12
358,791,67,2025-07-21,3,369.78000000000003
359,330,2,2025-07-22,2,950.14
360,648,85,2024-08-30,1,73.08
361,661,64,2025-07-29,2,301.2
362,496,32,2024-09-30,1,352.62
363,188,32,2024-09-03,2,705.24
364,639,118,2025-04-09,3,1313.25
365,99,112,2025-01-19,3,882.51
366,428,140,2024-10-08,3,437.70000000000005
367,523,132,2025-07-30,4,1552.36
368,948,13,2025-01-08,1,440.3
369,501,200,2025-05-26,1,252.26
370,927,39,2025-07-19,5,486.8
371,972,57,2025-07-24,2,196.7
372,924,70,2025-03-24,5,1013.7
373,655,20,2025-02-27,3,91.62
374,763,150,2024-11-12,2,979.3
375,345,134,2024-10-15,3,1404.03
376,525,157,2025-06-16,5,1224.25
377,593,117,2024-11-22,1,220.63
378,927,150,2025-08-08,1,489.65
379,735,63,2025-08-24,3,353.31
380,799,171,2025-06-29,4,996.12
381,210,157,2025-07-13,2,489.7
382,621,153,2025-05-09,5,383.25
